config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.257131,1.247635,1.284793,0.007144,0.004697,1.255562,1.260260,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.390032,1.378880,1.412824,0.008889,0.013123,1.384182,1.397305,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.392104,1.373729,1.409501,0.008815,0.011861,1.383203,1.395063,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.702786,0.695322,0.709449,0.004124,0.007165,0.698318,0.705482,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.696400,0.691447,0.707153,0.004262,0.007204,0.694077,0.701282,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.357896,0.353752,0.365930,0.002490,0.003444,0.356241,0.359685,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.354179,0.351266,0.358341,0.001906,0.002890,0.352735,0.355625,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.185375,0.182468,0.191376,0.002458,0.004063,0.184374,0.188437,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.180648,0.177467,0.184647,0.001496,0.001865,0.179835,0.181700,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.098364,0.095586,0.101471,0.001508,0.001903,0.097613,0.099516,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094124,0.093303,0.095566,0.000485,0.000529,0.093892,0.094421,,,,,0.000e+00,0,
mpi_r1,1,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 1 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r2,2,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 2 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r4,4,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 4 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r8,8,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 8 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r16,16,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 16 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r24,24,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 24 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
mpi_r32,32,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 32 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
cuda_1gpu,1,30,0.004727,0.004702,0.004945,0.000058,0.000026,0.004718,0.004745,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004719,0.004686,0.004916,0.000043,0.000030,0.004704,0.004734,f64,56249136,0.000003,0.0006357952739217971,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.004111,0.004080,0.009349,0.001135,0.000062,0.004100,0.004162,f64,56249136,0.000474,0.11543607833596885,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004839,0.004801,0.005045,0.000054,0.000040,0.004819,0.004859,f64,56249136,,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.004828,0.004798,0.008046,0.000644,0.000045,0.004818,0.004863,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.004588,0.004021,0.005266,0.000394,0.000754,0.004367,0.005121,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.004515,0.004209,0.016350,0.002237,0.000578,0.004291,0.004869,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004726,0.004688,0.005185,0.000090,0.000019,0.004717,0.004736,i32,28124568,0.000003,0.000634719136781974,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003947,0.003917,0.004180,0.000053,0.000039,0.003934,0.003973,i32,28124568,0.000311,0.0788040035474471,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004812,0.004785,0.004891,0.000024,0.000033,0.004804,0.004837,i32,28124568,,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.004815,0.004777,0.004994,0.000048,0.000027,0.004801,0.004828,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.004325,0.004162,0.005074,0.000326,0.000631,0.004281,0.004912,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.004311,0.004119,0.011542,0.001471,0.000575,0.004174,0.004749,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004757,0.004720,0.004787,0.000015,0.000014,0.004752,0.004766,packed,18749712,0.000003,0.000630715862503942,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003917,0.003873,0.004194,0.000072,0.000039,0.003895,0.003935,packed,18749712,0.000251,0.06420730150625478,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004850,0.004820,0.005026,0.000039,0.000024,0.004840,0.004864,packed,18749712,,,0.000e+00,0,
