config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.323427,1.309280,1.346606,0.009242,0.012584,1.318816,1.331400,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.266632,1.253139,1.280752,0.007082,0.010785,1.263284,1.274069,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.262665,1.247021,1.284551,0.010911,0.019806,1.253963,1.273769,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.640235,0.633538,0.648335,0.003641,0.004847,0.638103,0.642950,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.637661,0.631178,0.646515,0.003926,0.004151,0.636413,0.640564,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.327346,0.324524,0.333284,0.002301,0.002575,0.326443,0.329018,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.324165,0.319956,0.327168,0.002241,0.004002,0.321864,0.325867,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.170023,0.168060,0.173311,0.001387,0.002055,0.169075,0.171130,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.165086,0.163229,0.167407,0.001007,0.001652,0.164049,0.165702,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.089830,0.086884,0.092199,0.001562,0.002767,0.087978,0.090745,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.086039,0.084113,0.087439,0.000991,0.001791,0.084803,0.086594,,,,,0.000e+00,0,
mpi_r1,1,30,1.433497,1.393651,1.452891,0.012784,0.016177,1.425550,1.441727,,56249136,0.000006,0.0,0.000e+00,0,
mpi_r2,2,30,0.806127,0.797325,0.830133,0.006505,0.006540,0.803697,0.810237,,56249136,0.024241,0.03,0.000e+00,0,
mpi_r4,4,30,0.506645,0.494145,0.528131,0.007427,0.010534,0.502010,0.512543,,56249136,0.044201,0.08685000000000001,0.000e+00,0,
mpi_r8,8,30,0.354309,0.336930,0.375987,0.009039,0.011464,0.350047,0.361511,,56249136,0.056953,0.16015,0.000e+00,0,
mpi_r16,16,30,0.278317,0.271191,0.303335,0.007793,0.013567,0.274608,0.288175,,56249136,0.067575,0.2441,0.000e+00,0,
mpi_r24,24,30,0.299194,0.287193,0.316627,0.006016,0.007497,0.295578,0.303075,,56249136,0.120690,0.40235,0.000e+00,0,
mpi_r32,32,30,0.287189,0.274981,0.315964,0.010259,0.016736,0.281260,0.297996,,56249136,0.103891,0.36155,0.000e+00,0,
cuda_1gpu,1,30,0.004188,0.004133,0.004368,0.000054,0.000035,0.004171,0.004206,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004432,0.004183,0.016061,0.002139,0.000284,0.004212,0.004496,f64,56249136,0.000003,0.0006768953068592057,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.002896,0.002847,0.003093,0.000055,0.000049,0.002878,0.002928,f64,56249136,0.000456,0.15745856353591162,0.000e+00,0,
nccl_async_g1_f64,1,30,0.005169,0.004852,0.012487,0.001586,0.000264,0.004964,0.005228,f64,56249136,0.000021,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.005014,0.004866,0.005967,0.000279,0.000276,0.004926,0.005202,f64,56249136,0.000021,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.003529,0.003207,0.003795,0.000200,0.000385,0.003304,0.003689,f64,56249136,0.001808,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.003410,0.003215,0.003773,0.000208,0.000390,0.003327,0.003716,f64,56249136,0.001843,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004421,0.004164,0.010116,0.001099,0.000301,0.004190,0.004492,i32,28124568,0.000003,0.000678656260604004,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.002710,0.002680,0.002882,0.000053,0.000060,0.002694,0.002753,i32,28124568,0.000300,0.11070110701107011,0.000e+00,0,
nccl_async_g1_i32,1,30,0.005072,0.004864,0.012696,0.001777,0.000386,0.004892,0.005278,i32,28124568,0.000021,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.005130,0.004911,0.014690,0.001895,0.000203,0.004980,0.005183,i32,28124568,0.000021,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.003547,0.003093,0.003800,0.000214,0.000389,0.003239,0.003628,i32,28124568,0.001677,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.003232,0.003100,0.003715,0.000217,0.000406,0.003139,0.003545,i32,28124568,0.001664,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004405,0.004177,0.009105,0.000891,0.000254,0.004214,0.004468,packed,18749712,0.000004,0.0009081621069360879,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.002657,0.002601,0.002748,0.000040,0.000059,0.002641,0.002700,packed,18749712,0.000237,0.08919834399698907,0.000e+00,0,
nccl_async_g1_packed,1,30,0.005137,0.004852,0.006057,0.000254,0.000285,0.004934,0.005219,packed,18749712,0.000021,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.005112,0.004857,0.005423,0.000157,0.000240,0.004923,0.005163,packed,18749712,0.000021,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.003482,0.003015,0.003753,0.000219,0.000387,0.003172,0.003559,packed,18749712,0.001602,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.003240,0.002987,0.003688,0.000224,0.000425,0.003062,0.003487,packed,18749712,0.001602,,0.000e+00,0,
