config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.244970,0.242568,0.259848,0.004086,0.003002,0.244074,0.247076,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.247274,0.245835,0.248097,0.000641,0.000698,0.246866,0.247564,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.247426,0.245861,0.268586,0.003951,0.000641,0.247147,0.247789,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.129095,0.128015,0.130312,0.000577,0.000890,0.128654,0.129544,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.130173,0.129316,0.132948,0.000700,0.000634,0.129938,0.130572,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.068264,0.067522,0.078121,0.002256,0.000760,0.068021,0.068781,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.067893,0.067294,0.072494,0.001594,0.000825,0.067461,0.068286,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.042796,0.041297,0.045014,0.000906,0.001311,0.042164,0.043475,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.040123,0.039727,0.040935,0.000292,0.000407,0.039930,0.040337,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.038319,0.036288,0.040594,0.001130,0.001190,0.037864,0.039054,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.034482,0.033834,0.035356,0.000369,0.000489,0.034114,0.034604,,,,,0.000e+00,0,
mpi_r1,1,30,0.242258,0.239302,0.249502,0.002949,0.004061,0.241129,0.245191,,24237984,0.000001,0.0,0.000e+00,0,
mpi_r2,2,30,0.149760,0.146994,0.153807,0.001576,0.002003,0.149093,0.151097,,24237984,0.006125,0.041,0.000e+00,0,
mpi_r4,4,30,0.097908,0.095770,0.110400,0.003701,0.001769,0.097482,0.099251,,24237984,0.008939,0.09165000000000001,0.000e+00,0,
mpi_r8,8,30,0.098945,0.090935,0.110961,0.004421,0.005934,0.095733,0.101666,,24237984,0.015584,0.1592,0.000e+00,0,
