config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.324501,1.301315,1.357663,0.016185,0.028743,1.308834,1.337577,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.278588,1.253112,1.310076,0.015143,0.026533,1.263069,1.289602,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.273707,1.243694,1.303031,0.016515,0.027386,1.256775,1.284161,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.647012,0.632207,0.664711,0.009056,0.016825,0.638001,0.654827,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.641120,0.625802,0.658903,0.008339,0.012859,0.634620,0.647479,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.336106,0.323726,0.358214,0.007276,0.007758,0.330773,0.338531,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.325342,0.317030,0.332389,0.003789,0.004659,0.322656,0.327315,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.172864,0.169144,0.181592,0.003114,0.004426,0.171576,0.176002,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.167404,0.163544,0.172729,0.002274,0.003611,0.166016,0.169627,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.092490,0.089994,0.098628,0.002324,0.003885,0.091550,0.095435,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.087624,0.086476,0.093212,0.001714,0.002129,0.086845,0.088974,,,,,0.000e+00,0,
mpi_r1,1,30,1.450800,1.421384,1.467772,0.011688,0.014101,1.442871,1.456972,,56249136,0.000007,0.0,0.000e+00,0,
mpi_r2,2,30,0.819546,0.805120,0.859393,0.010006,0.013146,0.814489,0.827635,,56249136,0.028645,0.0347,0.000e+00,0,
mpi_r4,4,30,0.515957,0.497168,0.540671,0.009167,0.009625,0.511324,0.520949,,56249136,0.046288,0.08954999999999999,0.000e+00,0,
mpi_r8,8,30,0.359376,0.342006,0.375269,0.007557,0.009313,0.355653,0.364965,,56249136,0.055096,0.15195,0.000e+00,0,
mpi_r16,16,30,0.283125,0.266589,0.302639,0.007808,0.009314,0.277326,0.286639,,56249136,0.067815,0.23965,0.000e+00,0,
mpi_r24,24,30,0.308686,0.288601,0.327230,0.010236,0.016957,0.296442,0.313399,,56249136,0.124388,0.40549999999999997,0.000e+00,0,
mpi_r32,32,30,0.318541,0.282675,0.354499,0.019801,0.031022,0.305001,0.336023,,56249136,0.115775,0.36675,0.000e+00,0,
cuda_1gpu,1,30,0.004188,0.004095,0.004235,0.000036,0.000063,0.004142,0.004206,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004416,0.004178,0.005417,0.000275,0.000346,0.004253,0.004599,f64,56249136,0.000004,0.000905899671611369,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.002913,0.002890,0.003024,0.000030,0.000026,0.002905,0.002931,f64,56249136,0.000459,0.15754247468680282,0.000e+00,0,
nccl_async_g1_f64,1,30,0.005073,0.004897,0.007897,0.000536,0.000333,0.004951,0.005284,f64,56249136,0.000022,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.005055,0.004901,0.005953,0.000244,0.000316,0.004949,0.005265,f64,56249136,0.000021,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.003678,0.003220,0.003815,0.000207,0.000413,0.003320,0.003733,f64,56249136,0.001822,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.003559,0.003227,0.003803,0.000208,0.000419,0.003301,0.003720,f64,56249136,0.001827,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004306,0.004173,0.005800,0.000354,0.000276,0.004221,0.004497,i32,28124568,0.000004,0.0009290442457322029,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.002724,0.002689,0.002828,0.000033,0.000039,0.002712,0.002751,i32,28124568,0.000306,0.11235542500458967,0.000e+00,0,
nccl_async_g1_i32,1,30,0.005085,0.004891,0.005510,0.000171,0.000289,0.004990,0.005278,i32,28124568,0.000021,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.005028,0.004855,0.005403,0.000164,0.000210,0.004928,0.005138,i32,28124568,0.000022,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.003366,0.003070,0.003704,0.000219,0.000383,0.003173,0.003556,i32,28124568,0.001665,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.003530,0.003076,0.003776,0.000232,0.000448,0.003200,0.003648,i32,28124568,0.001687,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004352,0.004170,0.005030,0.000213,0.000282,0.004232,0.004514,packed,18749712,0.000004,0.0009191176470588235,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.002672,0.002622,0.002802,0.000040,0.000030,0.002661,0.002691,packed,18749712,0.000243,0.09092609915809167,0.000e+00,0,
nccl_async_g1_packed,1,30,0.005023,0.004838,0.005409,0.000148,0.000210,0.004938,0.005148,packed,18749712,0.000021,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.004989,0.004824,0.012373,0.001348,0.000311,0.004940,0.005251,packed,18749712,0.000022,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.003461,0.003066,0.003683,0.000186,0.000387,0.003168,0.003555,packed,18749712,0.001607,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.003207,0.003021,0.003613,0.000205,0.000362,0.003124,0.003486,packed,18749712,0.001597,,0.000e+00,0,
