config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.006069,0.005950,0.006199,0.000063,0.000083,0.006026,0.006110,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.006420,0.006285,0.006463,0.000042,0.000061,0.006371,0.006432,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.006424,0.006312,0.006559,0.000058,0.000083,0.006365,0.006448,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.003410,0.003333,0.003504,0.000048,0.000083,0.003385,0.003468,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.003582,0.003535,0.003733,0.000062,0.000108,0.003556,0.003664,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.002048,0.002015,0.002246,0.000056,0.000048,0.002029,0.002076,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.002282,0.002231,0.002377,0.000040,0.000049,0.002267,0.002317,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.001469,0.001426,0.002047,0.000109,0.000036,0.001447,0.001482,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.001600,0.001575,0.001770,0.000042,0.000015,0.001592,0.001607,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.001448,0.001373,0.001665,0.000074,0.000090,0.001427,0.001517,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.001458,0.001400,0.001524,0.000024,0.000032,0.001445,0.001477,,,,,0.000e+00,0,
mpi_r1,1,30,0.005907,0.005819,0.006077,0.000066,0.000092,0.005875,0.005967,,434592,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.012070,0.003468,0.013222,0.002681,0.000764,0.011708,0.012471,,434592,0.008736,0.7239,0.000e+00,0,
mpi_r4,4,30,0.011553,0.010427,0.013294,0.000797,0.001302,0.011147,0.012448,,434592,0.009515,0.822,0.000e+00,0,
mpi_r8,8,30,0.012378,0.010169,0.018259,0.001836,0.001156,0.011859,0.013015,,434592,0.010311,0.83345,0.000e+00,0,
