config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.356353,1.328925,1.396461,0.016804,0.024349,1.341599,1.365948,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.243611,1.224733,1.304992,0.017481,0.018680,1.237242,1.255922,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.252480,1.225953,1.329962,0.019481,0.017788,1.240970,1.258758,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.630475,0.616502,0.654153,0.007639,0.008505,0.626826,0.635331,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.630901,0.614882,0.675475,0.011037,0.010157,0.623567,0.633723,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.327164,0.315420,0.347532,0.008837,0.011887,0.322599,0.334485,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.319503,0.313263,0.338755,0.006962,0.010545,0.315608,0.326152,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.169003,0.163608,0.181536,0.005179,0.007714,0.166400,0.174113,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.165823,0.160731,0.176491,0.003960,0.006018,0.162772,0.168790,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.096037,0.086990,0.108245,0.006102,0.009436,0.091367,0.100803,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.088615,0.084442,0.097365,0.002891,0.002647,0.087111,0.089759,,,,,0.000e+00,0,
cuda_1gpu,1,30,0.003989,0.003965,0.004093,0.000032,0.000030,0.003975,0.004005,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004120,0.004072,0.004316,0.000049,0.000044,0.004100,0.004144,f64,56249136,0.000003,0.000849514563106796,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.048719,0.033630,0.055834,0.005634,0.007771,0.044538,0.052309,f64,56249136,0.045465,0.9332088097046328,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004169,0.004130,0.007187,0.000552,0.000060,0.004149,0.004208,f64,56249136,0.000013,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.004172,0.004132,0.004400,0.000052,0.000035,0.004153,0.004187,f64,56249136,0.000013,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.046109,0.037974,0.053233,0.004202,0.005820,0.042809,0.048629,f64,56249136,0.044449,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.047770,0.022325,0.057286,0.006330,0.006892,0.043571,0.050464,f64,56249136,0.046064,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004071,0.004034,0.004136,0.000026,0.000045,0.004058,0.004102,i32,28124568,0.000003,0.0008597396217145664,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.029809,0.023678,0.034775,0.003002,0.005363,0.027334,0.032697,i32,28124568,0.026636,0.8935556375591264,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004136,0.004096,0.004267,0.000039,0.000051,0.004124,0.004175,i32,28124568,0.000013,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.004141,0.004107,0.004239,0.000026,0.000032,0.004128,0.004160,i32,28124568,0.000013,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.025296,0.020339,0.032240,0.002635,0.003988,0.023392,0.027380,i32,28124568,0.023630,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.025336,0.019340,0.034699,0.002976,0.003446,0.023684,0.027130,i32,28124568,0.023721,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004102,0.004051,0.004190,0.000032,0.000042,0.004093,0.004136,packed,18749712,0.000003,0.0007313505607020966,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.021722,0.016251,0.028918,0.003383,0.004094,0.020461,0.024554,packed,18749712,0.018561,0.8544596616411556,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004162,0.004123,0.004335,0.000047,0.000034,0.004149,0.004183,packed,18749712,0.000013,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.004167,0.004106,0.004224,0.000024,0.000040,0.004156,0.004196,packed,18749712,0.000013,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.019271,0.014091,0.027949,0.002915,0.003251,0.017523,0.020774,packed,18749712,0.017599,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.018722,0.012531,0.025453,0.002482,0.003372,0.017055,0.020427,packed,18749712,0.017064,,0.000e+00,0,
