config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.317525,1.309443,1.337901,0.008177,0.011057,1.310842,1.321899,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.244635,1.240374,1.257385,0.005318,0.010459,1.242225,1.252684,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.244163,1.240893,1.264910,0.006408,0.011785,1.242523,1.254309,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.632839,0.626889,0.638588,0.003159,0.005547,0.627877,0.633424,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.630478,0.625233,0.635811,0.003220,0.005695,0.625991,0.631685,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.322674,0.319566,0.331972,0.002956,0.004270,0.320939,0.325209,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.317736,0.315521,0.321166,0.001628,0.002569,0.315887,0.318456,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.167567,0.165828,0.172920,0.001478,0.001208,0.167025,0.168233,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.163943,0.162144,0.165337,0.000878,0.001424,0.163240,0.164664,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.089950,0.086696,0.093863,0.001619,0.002331,0.089194,0.091525,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.085751,0.084667,0.086649,0.000547,0.000727,0.085451,0.086178,,,,,0.000e+00,0,
cuda_1gpu,1,30,0.004726,0.004702,0.004750,0.000010,0.000012,0.004720,0.004732,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004738,0.004709,0.004939,0.000040,0.000022,0.004730,0.004752,f64,56249136,0.000003,0.0006331785563528916,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.004122,0.004077,0.004379,0.000066,0.000046,0.004096,0.004142,f64,56249136,0.000479,0.1162198228800194,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004854,0.004811,0.005026,0.000045,0.000022,0.004847,0.004869,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.004917,0.004299,0.009301,0.000904,0.000753,0.004417,0.005170,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004733,0.004685,0.004934,0.000043,0.000037,0.004717,0.004754,i32,28124568,0.000003,0.0006337805006865956,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003949,0.003916,0.011945,0.001810,0.000036,0.003932,0.003967,i32,28124568,0.000313,0.0791239397392075,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004823,0.004796,0.011102,0.001144,0.000043,0.004814,0.004857,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.004915,0.004129,0.005103,0.000345,0.000659,0.004311,0.004970,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004766,0.004727,0.004846,0.000025,0.000029,0.004749,0.004778,packed,18749712,0.000004,0.0008392782207301719,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003928,0.003883,0.011022,0.001295,0.000023,0.003921,0.003944,packed,18749712,0.000254,0.0645448758752387,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004854,0.004811,0.004894,0.000021,0.000027,0.004843,0.004871,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.004306,0.004084,0.005067,0.000380,0.000759,0.004179,0.004939,packed,18749712,,,0.000e+00,0,
