config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.399056,0.396097,0.410268,0.002925,0.002985,0.398070,0.401055,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.446707,0.441973,0.456333,0.003215,0.004575,0.444231,0.448806,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.445323,0.441452,0.449016,0.002323,0.004361,0.443001,0.447362,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.227988,0.225014,0.233252,0.002068,0.002124,0.226885,0.229009,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.228494,0.224849,0.234794,0.002073,0.002109,0.226993,0.229102,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.115893,0.114471,0.121517,0.001958,0.002407,0.115350,0.117757,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.115933,0.114406,0.121755,0.001858,0.002388,0.115015,0.117403,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.063943,0.060219,0.066519,0.001346,0.002005,0.063018,0.065023,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.061865,0.060121,0.063560,0.000698,0.000720,0.061585,0.062305,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.035585,0.033138,0.037562,0.001121,0.001611,0.035098,0.036709,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.033643,0.032044,0.034374,0.000573,0.000687,0.033347,0.034034,,,,,0.000e+00,0,
mpi_r1,1,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 1 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/item_full_ovl_flat --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
