config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.623591,1.576239,1.702526,0.032825,0.051454,1.597562,1.649016,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.501497,1.460475,1.561740,0.027344,0.046388,1.478412,1.524800,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.511232,1.464446,1.572944,0.031260,0.053526,1.484180,1.537706,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.797750,0.745988,0.935461,0.043893,0.040781,0.781342,0.822122,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.805984,0.753477,0.907586,0.036328,0.056359,0.782364,0.838723,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.440619,0.399841,0.593942,0.045055,0.063175,0.414149,0.477324,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.415146,0.392202,0.440573,0.014981,0.025443,0.401271,0.426714,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.250532,0.214293,0.372447,0.037581,0.058280,0.221116,0.279396,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.220054,0.198937,0.228179,0.008592,0.016331,0.206350,0.222681,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.151496,0.112615,0.194776,0.020480,0.018867,0.142749,0.161615,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.123477,0.111414,0.137201,0.005372,0.003768,0.121160,0.124928,,,,,0.000e+00,0,
cuda_1gpu,1,30,0.004031,0.004016,0.004050,0.000009,0.000014,0.004025,0.004039,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004087,0.004030,0.004117,0.000025,0.000041,0.004062,0.004103,f64,56249136,0.000006,0.0014680694886224613,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.013101,0.012309,0.013909,0.000462,0.000686,0.012696,0.013382,f64,56249136,0.009958,0.7600656413387781,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004188,0.004131,0.004222,0.000024,0.000044,0.004159,0.004203,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.014378,0.012906,0.016900,0.000755,0.000947,0.013945,0.014893,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004093,0.004022,0.004617,0.000102,0.000054,0.004056,0.004109,i32,28124568,0.000006,0.0014657383657017222,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.011046,0.008443,0.011998,0.000683,0.000599,0.010693,0.011291,i32,28124568,0.007879,0.7132898786891183,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004161,0.004094,0.004199,0.000031,0.000045,0.004134,0.004179,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.012089,0.010582,0.013445,0.000721,0.000790,0.011604,0.012394,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004113,0.004039,0.004305,0.000048,0.000042,0.004085,0.004127,packed,18749712,0.000006,0.0014587892049598833,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.010020,0.004842,0.017092,0.002405,0.000512,0.009754,0.010266,packed,18749712,0.006830,0.6816707420529966,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004148,0.004002,0.004392,0.000098,0.000172,0.004032,0.004204,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.011236,0.008338,0.013134,0.001078,0.001462,0.010771,0.012233,packed,18749712,,,0.000e+00,0,
