config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.253179,1.240667,1.258578,0.005940,0.010909,1.245053,1.255962,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.385638,1.371638,1.393944,0.005107,0.006637,1.383572,1.390209,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.388134,1.375440,1.399992,0.006289,0.010095,1.382240,1.392335,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.698629,0.692586,0.706900,0.003188,0.004057,0.696448,0.700505,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.699093,0.691289,0.706689,0.003700,0.005949,0.694562,0.700512,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.357506,0.354397,0.362971,0.002046,0.002767,0.355949,0.358716,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.353062,0.349839,0.356866,0.002018,0.003222,0.350580,0.353802,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.184560,0.182147,0.189209,0.002005,0.002416,0.183644,0.186060,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.180319,0.177809,0.183728,0.001398,0.002227,0.179067,0.181294,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.097827,0.094890,0.102496,0.001965,0.003202,0.095958,0.099160,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094366,0.091641,0.096009,0.001350,0.002317,0.092989,0.095306,,,,,0.000e+00,0,
mpi_r1,1,30,1.424730,1.355617,1.440532,0.017118,0.018957,1.410436,1.429393,,56249136,0.000007,0.0,0.000e+00,0,
mpi_r2,2,30,0.805037,0.787890,0.857635,0.016083,0.006478,0.801581,0.808059,,56249136,0.029256,0.0363,0.000e+00,0,
mpi_r4,4,30,0.510114,0.498068,0.538086,0.009899,0.008122,0.505748,0.513870,,56249136,0.050020,0.0968,0.000e+00,0,
mpi_r8,8,30,0.354807,0.345512,0.369127,0.005257,0.004944,0.352333,0.357278,,56249136,0.059016,0.1659,0.000e+00,0,
mpi_r16,16,30,0.278641,0.270367,0.289587,0.004612,0.006449,0.274931,0.281381,,56249136,0.067627,0.24405,0.000e+00,0,
mpi_r24,24,30,0.306585,0.299629,0.319856,0.004569,0.007391,0.303417,0.310808,,56249136,0.126302,0.41225,0.000e+00,0,
mpi_r32,32,30,0.302743,0.289937,0.337040,0.011639,0.014869,0.295673,0.310542,,56249136,0.114722,0.37970000000000004,0.000e+00,0,
cuda_1gpu,1,30,0.004207,0.004133,0.004418,0.000057,0.000030,0.004189,0.004219,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004687,0.004515,0.004915,0.000092,0.000138,0.004603,0.004740,f64,56249136,0.000003,0.00064,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.003394,0.003085,0.003528,0.000089,0.000117,0.003347,0.003464,f64,56249136,0.000459,0.13521873619089703,0.000e+00,0,
nccl_async_g1_f64,1,30,0.005334,0.005211,0.005707,0.000121,0.000107,0.005290,0.005397,f64,56249136,0.000020,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.005368,0.005232,0.005683,0.000094,0.000090,0.005321,0.005410,f64,56249136,0.000020,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.003848,0.003599,0.004238,0.000199,0.000370,0.003729,0.004099,f64,56249136,0.001902,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.004054,0.003605,0.004451,0.000231,0.000411,0.003803,0.004214,f64,56249136,0.001932,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004635,0.004516,0.004893,0.000093,0.000110,0.004603,0.004713,i32,28124568,0.000003,0.0006471793765505339,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003219,0.003093,0.010822,0.001715,0.000102,0.003180,0.003282,i32,28124568,0.000321,0.09972041006523764,0.000e+00,0,
nccl_async_g1_i32,1,30,0.005341,0.005124,0.012164,0.001255,0.000124,0.005280,0.005404,i32,28124568,0.000020,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.005339,0.005262,0.005808,0.000115,0.000102,0.005300,0.005402,i32,28124568,0.000020,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.004036,0.003468,0.004367,0.000275,0.000511,0.003628,0.004139,i32,28124568,0.001794,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.003907,0.003477,0.004290,0.000247,0.000458,0.003639,0.004097,i32,28124568,0.001770,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004636,0.003926,0.013158,0.001568,0.000116,0.004565,0.004680,packed,18749712,0.000003,0.0006471095772217429,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003170,0.003014,0.003399,0.000084,0.000112,0.003122,0.003234,packed,18749712,0.000262,0.08263680807443623,0.000e+00,0,
nccl_async_g1_packed,1,30,0.005331,0.005160,0.010178,0.000889,0.000078,0.005287,0.005365,packed,18749712,0.000020,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.005366,0.005221,0.005594,0.000084,0.000103,0.005295,0.005398,packed,18749712,0.000020,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.003707,0.003453,0.004147,0.000228,0.000427,0.003587,0.004014,packed,18749712,0.001695,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.003851,0.003418,0.008549,0.000896,0.000417,0.003614,0.004031,packed,18749712,0.001723,,0.000e+00,0,
