config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,4,0.004341,0.004267,0.004461,0.000081,0.000151,0.004282,0.004434,,,,,0.000e+00,0,
openmp_t1_static,1,4,0.004573,0.004486,0.004971,0.000219,0.000381,0.004499,0.004880,,,,,0.000e+00,0,
openmp_t1_dynamic,1,4,0.004559,0.004466,0.004616,0.000064,0.000122,0.004485,0.004607,,,,,0.000e+00,0,
openmp_t2_static,2,4,0.002562,0.002479,0.002734,0.000108,0.000197,0.002497,0.002694,,,,,0.000e+00,0,
openmp_t2_dynamic,2,4,0.003881,0.003845,0.003917,0.000032,0.000062,0.003850,0.003912,,,,,0.000e+00,0,
openmp_t4_static,4,4,0.001511,0.001410,0.001583,0.000091,0.000164,0.001418,0.001582,,,,,0.000e+00,0,
openmp_t4_dynamic,4,4,0.004030,0.003940,0.004082,0.000059,0.000111,0.003960,0.004071,,,,,0.000e+00,0,
openmp_t8_static,8,4,0.001172,0.001104,0.001331,0.000104,0.000194,0.001109,0.001303,,,,,0.000e+00,0,
openmp_t8_dynamic,8,4,0.004005,0.003919,0.004088,0.000078,0.000149,0.003929,0.004078,,,,,0.000e+00,0,
openmp_t16_static,16,4,0.001165,0.001110,0.001253,0.000060,0.000114,0.001121,0.001234,,,,,0.000e+00,0,
openmp_t16_dynamic,16,4,0.003997,0.003961,0.004338,0.000177,0.000286,0.003968,0.004254,,,,,0.000e+00,0,
mpi_r1,1,4,0.004325,0.004232,0.004419,0.000092,0.000171,0.004240,0.004411,,58704,0.000000,0.0,0.000e+00,0,
mpi_r2,2,4,0.004724,0.004152,0.005095,0.000390,0.000718,0.004290,0.005008,,58704,0.002450,0.5186,0.000e+00,0,
