config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.103609,0.102730,0.104025,0.000328,0.000472,0.103380,0.103852,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.103390,0.102367,0.104169,0.000462,0.000760,0.103113,0.103873,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.102618,0.101917,0.103396,0.000412,0.000671,0.102244,0.102915,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.053660,0.053282,0.053990,0.000195,0.000321,0.053525,0.053847,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.053771,0.053382,0.053913,0.000128,0.000150,0.053692,0.053841,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.027819,0.027682,0.028107,0.000130,0.000240,0.027740,0.027979,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.027560,0.027356,0.027824,0.000116,0.000187,0.027478,0.027664,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.017422,0.016679,0.018647,0.000476,0.000569,0.017181,0.017749,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.016525,0.016112,0.017073,0.000187,0.000200,0.016420,0.016620,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.017382,0.016245,0.021640,0.000995,0.001050,0.016807,0.017857,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.014483,0.014157,0.015092,0.000201,0.000206,0.014387,0.014593,,,,,0.000e+00,0,
mpi_r1,1,30,0.098936,0.097682,0.100929,0.000843,0.001209,0.098418,0.099627,,3349008,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.055012,0.054546,0.058766,0.000722,0.000306,0.054881,0.055187,,3349008,0.001175,0.02135,0.000e+00,0,
mpi_r4,4,30,0.031622,0.031162,0.038751,0.001494,0.000741,0.031369,0.032110,,3349008,0.001610,0.05115,0.000e+00,0,
mpi_r8,8,30,0.035574,0.033321,0.043069,0.002332,0.003088,0.034350,0.037438,,3349008,0.010760,0.31235,0.000e+00,0,
