config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.004326,0.004214,0.004440,0.000058,0.000075,0.004292,0.004367,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.004626,0.004548,0.004744,0.000056,0.000070,0.004597,0.004667,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.004595,0.004504,0.004707,0.000057,0.000087,0.004565,0.004652,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.002484,0.002430,0.002661,0.000063,0.000091,0.002457,0.002547,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.004065,0.003884,0.004221,0.000080,0.000098,0.004051,0.004149,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.001698,0.001437,0.001872,0.000097,0.000073,0.001651,0.001724,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.003935,0.003865,0.004059,0.000047,0.000075,0.003898,0.003973,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.001085,0.001025,0.001128,0.000024,0.000029,0.001072,0.001100,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.003973,0.003894,0.004075,0.000039,0.000048,0.003949,0.003998,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.001125,0.001080,0.001278,0.000046,0.000049,0.001103,0.001151,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.004079,0.003977,0.004179,0.000062,0.000104,0.004015,0.004119,,,,,0.000e+00,0,
mpi_r1,1,30,0.004204,0.004118,0.004478,0.000081,0.000097,0.004172,0.004269,,58704,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.004689,0.002211,0.005325,0.000887,0.000503,0.004401,0.004904,,58704,0.002485,0.52985,0.000e+00,0,
mpi_r4,4,30,0.003564,0.001272,0.005090,0.000682,0.000524,0.003357,0.003881,,58704,0.002339,0.6576500000000001,0.000e+00,0,
mpi_r8,8,30,0.003384,0.001040,0.005771,0.001249,0.001360,0.002424,0.003783,,58704,0.002469,0.7296,0.000e+00,0,
