config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.262053,1.247269,1.283096,0.009161,0.012229,1.256498,1.268727,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.401571,1.383421,1.415370,0.009400,0.013977,1.396708,1.410685,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.402102,1.385045,1.414986,0.008236,0.011084,1.398901,1.409985,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.705697,0.698222,0.713642,0.003766,0.004235,0.703743,0.707978,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.703973,0.698492,0.710154,0.003242,0.004614,0.701541,0.706155,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.360177,0.355140,0.365675,0.002535,0.002421,0.358965,0.361386,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.355405,0.352634,0.358058,0.001604,0.002460,0.354119,0.356579,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.186130,0.182652,0.190096,0.001748,0.002277,0.185158,0.187435,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.181192,0.179880,0.182782,0.000913,0.001698,0.180579,0.182277,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.097472,0.095216,0.101099,0.001438,0.001838,0.096766,0.098604,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094239,0.092837,0.095399,0.000701,0.001315,0.093286,0.094601,,,,,0.000e+00,0,
mpi_r1,1,30,1.428743,1.400956,1.445720,0.012065,0.013675,1.423487,1.437162,,56249136,0.000006,0.0,0.000e+00,0,
mpi_r2,2,30,0.809052,0.798257,0.872036,0.018800,0.008765,0.804264,0.813029,,56249136,0.025867,0.0317,0.000e+00,0,
mpi_r4,4,30,0.513785,0.496712,0.538977,0.009016,0.006991,0.509085,0.516076,,56249136,0.047987,0.09335,0.000e+00,0,
mpi_r8,8,30,0.360267,0.347451,0.375436,0.006253,0.006815,0.355363,0.362179,,56249136,0.061488,0.17165,0.000e+00,0,
mpi_r16,16,30,0.282233,0.276326,0.298311,0.004886,0.006355,0.279268,0.285623,,56249136,0.071808,0.255,0.000e+00,0,
mpi_r24,24,30,0.303495,0.294170,0.322750,0.007236,0.010850,0.299594,0.310444,,56249136,0.122847,0.40364999999999995,0.000e+00,0,
mpi_r32,32,30,0.299658,0.280251,0.331776,0.011986,0.017985,0.291007,0.308992,,56249136,0.108881,0.36985,0.000e+00,0,
cuda_1gpu,1,30,0.004181,0.004139,0.004372,0.000042,0.000039,0.004164,0.004203,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004587,0.003917,0.004839,0.000153,0.000078,0.004557,0.004635,f64,56249136,0.000003,0.0006540935353755587,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.003340,0.003254,0.003679,0.000092,0.000109,0.003304,0.003413,f64,56249136,0.000457,0.13682634730538923,0.000e+00,0,
nccl_async_g1_f64,1,30,0.005302,0.005179,0.005605,0.000088,0.000104,0.005240,0.005343,f64,56249136,0.000020,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.005319,0.005240,0.005487,0.000066,0.000093,0.005279,0.005372,f64,56249136,0.000021,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.003963,0.003639,0.011955,0.002088,0.000403,0.003749,0.004152,f64,56249136,0.001901,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.003775,0.003626,0.004317,0.000219,0.000404,0.003696,0.004100,f64,56249136,0.001915,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004554,0.004511,0.004795,0.000071,0.000066,0.004534,0.004600,i32,28124568,0.000003,0.0006587615283267457,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003160,0.003088,0.003491,0.000086,0.000088,0.003123,0.003211,i32,28124568,0.000303,0.09588607594936709,0.000e+00,0,
nccl_async_g1_i32,1,30,0.005286,0.005175,0.005478,0.000066,0.000078,0.005246,0.005325,i32,28124568,0.000021,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.005302,0.005202,0.005543,0.000086,0.000120,0.005255,0.005375,i32,28124568,0.000021,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.003934,0.003469,0.014346,0.001926,0.000423,0.003640,0.004063,i32,28124568,0.001782,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.003923,0.003506,0.004279,0.000218,0.000393,0.003651,0.004044,i32,28124568,0.001798,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004554,0.004483,0.004893,0.000093,0.000052,0.004533,0.004584,packed,18749712,0.000003,0.0006586892084751346,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003069,0.003004,0.003312,0.000063,0.000061,0.003053,0.003114,packed,18749712,0.000240,0.0780511650643637,0.000e+00,0,
nccl_async_g1_packed,1,30,0.005271,0.005187,0.005541,0.000071,0.000087,0.005234,0.005322,packed,18749712,0.000021,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.005279,0.005193,0.005534,0.000090,0.000095,0.005236,0.005331,packed,18749712,0.000021,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.003783,0.003409,0.004176,0.000247,0.000414,0.003554,0.003968,packed,18749712,0.001695,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.003674,0.003404,0.004389,0.000275,0.000489,0.003540,0.004029,packed,18749712,0.001707,,0.000e+00,0,
