config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.343804,0.342636,0.347308,0.001316,0.001972,0.343167,0.345139,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.350260,0.345714,0.370148,0.007707,0.014999,0.348583,0.363582,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.346574,0.345201,0.356670,0.003081,0.002160,0.345734,0.347894,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.181097,0.179485,0.194479,0.002725,0.001380,0.180265,0.181646,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.180107,0.178945,0.185448,0.001586,0.001266,0.179580,0.180846,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.095939,0.095476,0.098583,0.000643,0.000446,0.095752,0.096198,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.095964,0.095141,0.096419,0.000413,0.000808,0.095386,0.096194,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.060090,0.058137,0.070561,0.002426,0.002168,0.059403,0.061571,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.056864,0.056252,0.060355,0.001013,0.000814,0.056677,0.057491,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.052612,0.050134,0.077049,0.004745,0.002533,0.051488,0.054022,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.048874,0.048029,0.049668,0.000443,0.000520,0.048495,0.049015,,,,,0.000e+00,0,
mpi_r1,1,30,0.352052,0.340814,0.371791,0.008497,0.014105,0.346020,0.360124,,67769472,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.233787,0.228564,0.249116,0.004978,0.007155,0.232149,0.239303,,67769472,0.011268,0.0487,0.000e+00,0,
mpi_r4,4,30,0.177594,0.173115,0.191580,0.003280,0.003182,0.175805,0.178988,,67769472,0.019325,0.1085,0.000e+00,0,
mpi_r8,8,30,0.194609,0.182417,0.201400,0.005414,0.010281,0.187073,0.197354,,67769472,0.034876,0.18265,0.000e+00,0,
