config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.760023,0.754369,0.796759,0.008733,0.008572,0.755856,0.764428,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.760135,0.754463,0.777927,0.006195,0.006830,0.757685,0.764515,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.761565,0.757065,0.776714,0.004854,0.004866,0.760133,0.764999,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.392852,0.389182,0.424642,0.007891,0.004887,0.392097,0.396984,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.397651,0.393965,0.412250,0.003197,0.003021,0.396673,0.399694,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.211381,0.209535,0.212874,0.000925,0.001717,0.210132,0.211849,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.209137,0.206940,0.225140,0.004579,0.000967,0.208762,0.209729,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.128392,0.126451,0.134924,0.002207,0.003029,0.127096,0.130126,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.123837,0.122012,0.145056,0.003999,0.001339,0.122824,0.124162,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.111854,0.106897,0.115812,0.002177,0.002751,0.110053,0.112805,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.107411,0.104565,0.130516,0.004480,0.002421,0.105661,0.108082,,,,,0.000e+00,0,
mpi_r1,1,30,0.761204,0.743604,0.783851,0.009254,0.012476,0.754866,0.767343,,56249136,0.000001,0.0,0.000e+00,0,
mpi_r2,2,30,0.444557,0.438565,0.456064,0.004359,0.005639,0.441435,0.447074,,56249136,0.010086,0.0228,0.000e+00,0,
mpi_r4,4,30,0.272125,0.265737,0.288792,0.004086,0.002608,0.270691,0.273299,,56249136,0.017342,0.06384999999999999,0.000e+00,0,
mpi_r8,8,30,0.257467,0.248472,0.280728,0.007588,0.007225,0.253537,0.260763,,56249136,0.034242,0.1351,0.000e+00,0,
