config,threads_or_ranks,median_s,min_s,max_s,stdev_s,comm_fraction,max_abs_diff,tol_failures
serial,1,0.803633,0.775738,0.834035,0.023926,,0.000e+00,0
openmp_t1_static,1,0.782244,0.780349,0.844476,0.027864,,0.000e+00,0
openmp_t1_dynamic,1,0.778680,0.776588,0.830603,0.023622,,0.000e+00,0
openmp_t2_static,2,0.419243,0.413829,0.439460,0.010300,,0.000e+00,0
openmp_t2_dynamic,2,0.419589,0.414017,0.434030,0.008135,,0.000e+00,0
openmp_t4_static,4,0.215918,0.214450,0.218172,0.001440,,0.000e+00,0
openmp_t4_dynamic,4,0.211556,0.211186,0.216315,0.002164,,0.000e+00,0
openmp_t8_static,8,0.128420,0.126252,0.131644,0.002575,,0.000e+00,0
openmp_t8_dynamic,8,0.124147,0.123519,0.125504,0.000796,,0.000e+00,0
openmp_t16_static,16,0.136079,0.134972,0.158497,0.009951,,0.000e+00,0
openmp_t16_dynamic,16,0.113308,0.106981,0.141052,0.015484,,0.000e+00,0
mpi_r1,1,0.790975,0.767245,0.817360,0.020481,0.0,0.000e+00,0
mpi_r2,2,0.454503,0.452126,0.478040,0.010723,0.0252,0.000e+00,0
mpi_r4,4,0.338136,0.276588,0.351059,0.035623,0.06,0.000e+00,0
mpi_r8,8,0.256341,0.248402,0.259499,0.004837,0.1272,0.000e+00,0
