config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.946568,0.941951,0.962439,0.004604,0.005758,0.945030,0.950788,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.045242,1.042389,1.050440,0.002053,0.002670,1.043705,1.046375,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.045637,1.043021,1.052511,0.001951,0.002149,1.044524,1.046673,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.528495,0.527451,0.537530,0.001842,0.001662,0.528127,0.529789,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.527672,0.526451,0.531944,0.001033,0.001089,0.527381,0.528470,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.272332,0.270798,0.279964,0.001917,0.001564,0.271849,0.273414,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.271048,0.267721,0.272854,0.001756,0.003532,0.268475,0.272006,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.143825,0.142898,0.155205,0.002763,0.003232,0.143472,0.146704,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.140439,0.139470,0.142154,0.000755,0.001362,0.139942,0.141304,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.079857,0.077473,0.085869,0.001854,0.002928,0.079634,0.082562,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.074407,0.072974,0.081862,0.001507,0.000963,0.074046,0.075009,,,,,0.000e+00,0,
cuda_1gpu,1,30,0.003881,0.003865,0.003890,0.000006,0.000008,0.003875,0.003883,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.003854,0.003840,0.004046,0.000038,0.000018,0.003848,0.003866,f64,56249136,0.000003,0.0007784120394395433,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.013111,0.009937,0.015021,0.001232,0.002136,0.011385,0.013521,f64,56249136,0.010129,0.7725868578620189,0.000e+00,0,
nccl_async_g1_f64,1,30,0.003965,0.003943,0.004180,0.000065,0.000021,0.003958,0.003979,f64,56249136,,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.003964,0.003931,0.004175,0.000058,0.000016,0.003954,0.003971,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.014034,0.012094,0.029183,0.003398,0.003708,0.012762,0.016470,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.012939,0.009887,0.017189,0.001535,0.001823,0.011992,0.013816,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.003864,0.003843,0.004063,0.000039,0.000016,0.003856,0.003872,i32,28124568,0.000003,0.000776297063009445,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.010607,0.005241,0.011705,0.001745,0.003336,0.007656,0.010991,i32,28124568,0.007572,0.7138210615631188,0.000e+00,0,
nccl_async_g1_i32,1,30,0.003935,0.003913,0.004132,0.000067,0.000021,0.003926,0.003947,i32,28124568,,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.003946,0.003922,0.004190,0.000075,0.000050,0.003933,0.003983,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.011471,0.006006,0.012203,0.001822,0.003291,0.008467,0.011759,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.007633,0.005518,0.012125,0.001817,0.003240,0.007286,0.010526,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.003886,0.003869,0.004095,0.000076,0.000058,0.003876,0.003934,packed,18749712,0.000003,0.0007720020586721566,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.009532,0.005927,0.010681,0.001900,0.003774,0.006138,0.009912,packed,18749712,0.006490,0.6808287437713088,0.000e+00,0,
nccl_async_g1_packed,1,30,0.003973,0.003948,0.004171,0.000062,0.000073,0.003957,0.004030,packed,18749712,,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.003964,0.003943,0.004152,0.000047,0.000050,0.003950,0.003999,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.008797,0.005938,0.011384,0.001907,0.003861,0.006278,0.010139,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.009666,0.005467,0.011221,0.002067,0.004159,0.006121,0.010280,packed,18749712,,,0.000e+00,0,
