config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.000389,0.000361,0.000445,0.000020,0.000025,0.000379,0.000404,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.000561,0.000534,0.000703,0.000036,0.000035,0.000549,0.000584,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.000541,0.000512,0.000582,0.000017,0.000018,0.000535,0.000553,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.000401,0.000378,0.000452,0.000015,0.000014,0.000396,0.000410,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.000553,0.000520,0.000577,0.000012,0.000009,0.000546,0.000555,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.000325,0.000292,0.000346,0.000013,0.000019,0.000312,0.000331,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.000587,0.000547,0.000761,0.000050,0.000022,0.000574,0.000596,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.000378,0.000355,0.000523,0.000039,0.000022,0.000365,0.000387,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.000623,0.000591,0.000702,0.000022,0.000024,0.000613,0.000637,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.000429,0.000398,0.000485,0.000017,0.000017,0.000420,0.000437,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.000677,0.000646,0.000923,0.000055,0.000032,0.000662,0.000694,,,,,0.000e+00,0,
mpi_r1,1,30,0.000376,0.000365,0.000405,0.000010,0.000008,0.000373,0.000381,,34848,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.000254,0.000227,0.000270,0.000012,0.000019,0.000241,0.000260,,34848,0.000015,0.06325,0.000e+00,0,
mpi_r4,4,30,0.000184,0.000156,0.000271,0.000025,0.000035,0.000160,0.000196,,34848,0.000023,0.1338,0.000e+00,0,
mpi_r8,8,30,0.000204,0.000181,0.000570,0.000068,0.000029,0.000196,0.000225,,34848,0.000057,0.27054999999999996,0.000e+00,0,
