config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.318877,1.312677,1.325131,0.002905,0.003239,1.316875,1.320114,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.264425,1.245905,1.284396,0.010500,0.016936,1.252702,1.269637,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.246785,1.240002,1.262846,0.005172,0.006947,1.243295,1.250242,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.637378,0.629066,0.653546,0.006207,0.007914,0.633456,0.641370,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.627874,0.625154,0.648917,0.005051,0.002562,0.626506,0.629068,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.325970,0.321199,0.331933,0.002435,0.002677,0.325121,0.327798,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.319057,0.315120,0.327944,0.003000,0.003951,0.316759,0.320711,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.170644,0.166680,0.180615,0.003204,0.003820,0.168948,0.172768,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.163997,0.161710,0.167730,0.001253,0.001634,0.163314,0.164947,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.090466,0.088571,0.094978,0.001278,0.001756,0.089923,0.091680,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.086665,0.083667,0.088823,0.000858,0.000706,0.086312,0.087018,,,,,0.000e+00,0,
mpi_r1,1,30,1.353172,1.304428,1.373448,0.016208,0.018528,1.346546,1.365075,,56249136,0.000007,0.0,0.000e+00,0,
mpi_r2,2,30,0.768973,0.747974,0.777096,0.006818,0.008219,0.764586,0.772805,,56249136,0.026312,0.034199999999999994,0.000e+00,0,
mpi_r4,4,30,0.490995,0.481602,0.499065,0.003873,0.003822,0.488955,0.492777,,56249136,0.048219,0.09815,0.000e+00,0,
mpi_r8,8,30,0.345425,0.337188,0.374287,0.006332,0.004175,0.343198,0.347373,,56249136,0.056833,0.16565000000000002,0.000e+00,0,
mpi_r16,16,30,0.275699,0.268009,0.283876,0.003954,0.005695,0.273654,0.279349,,56249136,0.068922,0.2497,0.000e+00,0,
cuda_1gpu,1,30,0.004753,0.004729,0.004776,0.000010,0.000010,0.004749,0.004759,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004812,0.004788,0.004849,0.000016,0.000025,0.004800,0.004825,f64,56249136,0.000003,0.0006233766233766234,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.004191,0.004154,0.010575,0.001165,0.000025,0.004176,0.004201,f64,56249136,0.000460,0.1096397041278931,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004929,0.004902,0.005117,0.000038,0.000027,0.004914,0.004941,f64,56249136,0.000020,0.0040572066132467804,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.004941,0.004899,0.004980,0.000019,0.000023,0.004928,0.004951,f64,56249136,0.000020,0.004048173261815606,0.000e+00,0,
nccl_async_g2_f64,2,30,0.004626,0.004399,0.005367,0.000389,0.000835,0.004450,0.005286,f64,56249136,0.002527,0.5463193168306129,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.005155,0.004431,0.010296,0.001032,0.000675,0.004599,0.005274,f64,56249136,0.002556,0.4959262851600388,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004798,0.004768,0.004824,0.000016,0.000025,0.004786,0.004810,i32,28124568,0.000004,0.0008336807002917882,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.004025,0.003972,0.004223,0.000052,0.000032,0.004002,0.004034,i32,28124568,0.000305,0.07578581190209964,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004908,0.004881,0.004944,0.000014,0.000020,0.004899,0.004919,i32,28124568,0.000020,0.004074564530915759,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.004914,0.004891,0.005113,0.000040,0.000038,0.004903,0.004940,i32,28124568,0.000020,0.004070004070004071,0.000e+00,0,
nccl_async_g2_i32,2,30,0.005015,0.004278,0.009258,0.000896,0.000750,0.004415,0.005166,i32,28124568,0.002394,0.4773203070481508,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.004455,0.004276,0.005295,0.000376,0.000717,0.004295,0.005012,i32,28124568,0.002369,0.5318217532831968,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004829,0.004796,0.004870,0.000018,0.000028,0.004813,0.004841,packed,18749712,0.000003,0.000724787740733071,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003977,0.003943,0.009073,0.000929,0.000045,0.003962,0.004007,packed,18749712,0.000250,0.06286145335680161,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004932,0.004906,0.005151,0.000050,0.000034,0.004920,0.004954,packed,18749712,0.000020,0.004055150040551501,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.004943,0.004907,0.004975,0.000019,0.000036,0.004923,0.004959,packed,18749712,0.000020,0.004046125834513454,0.000e+00,0,
nccl_async_g2_packed,2,30,0.004409,0.004222,0.005158,0.000362,0.000712,0.004255,0.004967,packed,18749712,0.002303,0.5223999092661903,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.004719,0.004247,0.012470,0.001461,0.000616,0.004382,0.004998,packed,18749712,0.002326,0.4928488187307978,0.000e+00,0,
