config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.582854,0.578668,0.593066,0.003389,0.005634,0.580213,0.585846,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.642809,0.637078,0.652873,0.003367,0.004950,0.640689,0.645639,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.641718,0.634273,0.648187,0.004261,0.007179,0.637543,0.644722,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.328916,0.326186,0.337088,0.002534,0.002720,0.327933,0.330653,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.324917,0.321850,0.333162,0.002252,0.002176,0.324041,0.326217,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.168200,0.166010,0.172078,0.001771,0.002890,0.167234,0.170124,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.167085,0.164237,0.170851,0.001674,0.002407,0.165470,0.167877,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.089814,0.087698,0.093278,0.001627,0.002344,0.088908,0.091253,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.088050,0.085739,0.089309,0.000886,0.001352,0.087345,0.088696,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.051832,0.050042,0.054484,0.001264,0.001820,0.051208,0.053027,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.048218,0.047011,0.049381,0.000641,0.001093,0.047492,0.048585,,,,,0.000e+00,0,
mpi_r1,1,,,,,,,,,,,,,,,"RuntimeError: mpirun -np 1 /workspace/rre/engine/build/pearson_engine_mpi data/fixtures/user_full --validate failed:
--------------------------------------------------------------------------
mpirun has detected an attempt to run as root.

Running as root is *strongly* discouraged as any mistake (e.g., in
defining TMPDIR) or bug can result in catastrophic damage to the OS
file system, leaving your system in an unusable state.

We strongly suggest that you run mpirun as a non-root user.

You can override this protection by adding the --allow-run-as-root option
to the cmd line or by setting two environment variables in the following way:
the variable OMPI_ALLOW_RUN_AS_ROOT=1 to indicate the desire to override this
protection, and OMPI_ALLOW_RUN_AS_ROOT_CONFIRM=1 to confirm the choice and
add one more layer of certainty that you want to do so.
We reiterate our advice against doing so - please proceed at your own risk.
--------------------------------------------------------------------------
"
