config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.257904,1.244167,1.262013,0.004533,0.007438,1.251997,1.259435,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.388148,1.375449,1.407151,0.008506,0.014031,1.379619,1.393650,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.382815,1.374480,1.391690,0.004808,0.007036,1.380153,1.387189,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.700816,0.693788,0.712958,0.003823,0.002985,0.699207,0.702192,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.699428,0.692153,0.703043,0.003084,0.004183,0.696891,0.701074,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.357764,0.354783,0.362753,0.001914,0.002503,0.356593,0.359096,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.351894,0.349523,0.356557,0.001989,0.003158,0.350704,0.353862,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.185447,0.182048,0.191173,0.002010,0.001819,0.184509,0.186328,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.180810,0.178639,0.182844,0.000978,0.001409,0.179981,0.181390,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.098906,0.095902,0.102144,0.001599,0.002319,0.097739,0.100058,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094476,0.093272,0.095423,0.000510,0.000713,0.094178,0.094891,,,,,0.000e+00,0,
cuda_1gpu,1,30,0.004731,0.004505,0.004791,0.000048,0.000035,0.004720,0.004755,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004752,0.004691,0.004947,0.000043,0.000034,0.004738,0.004772,f64,56249136,0.000003,0.0006313131313131313,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.004110,0.004062,0.004221,0.000030,0.000035,0.004093,0.004128,f64,56249136,0.000460,0.11190852694319427,0.000e+00,0,
nccl_async_g1_f64,1,30,0.004867,0.004801,0.005010,0.000036,0.000034,0.004844,0.004879,f64,56249136,,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.004877,0.004835,0.004912,0.000021,0.000040,0.004863,0.004903,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.004470,0.004273,0.005278,0.000404,0.000863,0.004318,0.005181,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.004830,0.004195,0.004959,0.000307,0.000590,0.004285,0.004875,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004730,0.004692,0.004854,0.000032,0.000038,0.004712,0.004750,i32,28124568,0.000003,0.0006342494714587737,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003944,0.003918,0.004008,0.000025,0.000038,0.003932,0.003970,i32,28124568,0.000304,0.077079107505071,0.000e+00,0,
nccl_async_g1_i32,1,30,0.004817,0.004795,0.004955,0.000030,0.000033,0.004809,0.004842,i32,28124568,,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.004814,0.004784,0.005021,0.000042,0.000030,0.004798,0.004828,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.004400,0.004148,0.005066,0.000364,0.000750,0.004245,0.004995,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.004502,0.004124,0.004859,0.000292,0.000583,0.004193,0.004777,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004757,0.004714,0.004796,0.000020,0.000027,0.004736,0.004763,packed,18749712,0.000003,0.0006306495690561277,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003928,0.003873,0.004144,0.000050,0.000030,0.003911,0.003941,packed,18749712,0.000245,0.06238064926798217,0.000e+00,0,
nccl_async_g1_packed,1,30,0.004865,0.004823,0.004959,0.000026,0.000033,0.004850,0.004883,packed,18749712,,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.004834,0.004795,0.004949,0.000030,0.000033,0.004821,0.004854,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.004253,0.004106,0.005024,0.000313,0.000672,0.004148,0.004819,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.004730,0.004121,0.004837,0.000294,0.000580,0.004184,0.004764,packed,18749712,,,0.000e+00,0,
