config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,0.049998,0.049719,0.050237,0.000138,0.000223,0.049905,0.050127,,,,,0.000e+00,0,
openmp_t1_static,1,30,0.050648,0.050278,0.051583,0.000417,0.000819,0.050444,0.051263,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,0.050746,0.050216,0.051151,0.000201,0.000227,0.050603,0.050830,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.026148,0.025895,0.034672,0.001595,0.000287,0.026042,0.026329,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.026275,0.026132,0.026498,0.000105,0.000176,0.026193,0.026369,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.014134,0.013967,0.014460,0.000109,0.000125,0.014054,0.014179,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.014082,0.013974,0.014857,0.000154,0.000081,0.014039,0.014120,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.009171,0.008860,0.014428,0.000969,0.000282,0.009099,0.009381,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.008638,0.008454,0.009241,0.000140,0.000110,0.008588,0.008698,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.008806,0.008224,0.009335,0.000212,0.000212,0.008725,0.008936,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.007625,0.007444,0.008143,0.000132,0.000130,0.007602,0.007732,,,,,0.000e+00,0,
mpi_r1,1,30,0.048184,0.047285,0.052586,0.000986,0.000626,0.047870,0.048495,,3595392,0.000000,0.0,0.000e+00,0,
mpi_r2,2,30,0.028410,0.027937,0.028984,0.000224,0.000277,0.028314,0.028591,,3595392,0.001310,0.04615,0.000e+00,0,
mpi_r4,4,30,0.026353,0.023572,0.028757,0.000899,0.001060,0.026094,0.027154,,3595392,0.009870,0.3716,0.000e+00,0,
mpi_r8,8,30,0.026283,0.022345,0.029114,0.001464,0.001802,0.025506,0.027308,,3595392,0.010110,0.38795,0.000e+00,0,
