config,threads_or_ranks,median_s,min_s,max_s,stdev_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,1.326385,1.324568,1.336240,0.004675,,,,,0.000e+00,0,
openmp_t1_static,1,1.277792,1.260545,1.292021,0.011260,,,,,0.000e+00,0,
openmp_t1_dynamic,1,1.269631,1.251096,1.285419,0.012983,,,,,0.000e+00,0,
openmp_t2_static,2,0.644501,0.636410,0.659644,0.011208,,,,,0.000e+00,0,
openmp_t2_dynamic,2,0.644232,0.638134,0.648635,0.004369,,,,,0.000e+00,0,
openmp_t4_static,4,0.332603,0.325691,0.344291,0.007321,,,,,0.000e+00,0,
openmp_t4_dynamic,4,0.329295,0.322984,0.330761,0.003444,,,,,0.000e+00,0,
openmp_t8_static,8,0.176898,0.176223,0.179553,0.001376,,,,,0.000e+00,0,
openmp_t8_dynamic,8,0.171842,0.168167,0.172936,0.002137,,,,,0.000e+00,0,
openmp_t16_static,16,0.098793,0.091882,0.103177,0.004398,,,,,0.000e+00,0,
openmp_t16_dynamic,16,0.088848,0.087216,0.091600,0.001759,,,,,0.000e+00,0,
cuda_1gpu,1,0.004311,0.004292,0.004479,0.000084,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,0.004346,0.004311,0.004395,0.000031,f64,56249136,0.000004,0.0009203865623561895,0.000e+00,0,
nccl_sync_g2_f64,2,0.040322,0.037917,0.041234,0.001494,f64,56249136,0.036743,0.9112395218491146,0.000e+00,0,
nccl_async_g1_f64,1,0.004505,0.004471,0.004520,0.000019,f64,56249136,,,0.000e+00,0,
nccl_async_g2_f64,2,0.038574,0.034260,0.040600,0.002599,f64,56249136,,,0.000e+00,0,
nccl_sync_g1_i32,1,0.004429,0.004392,0.004723,0.000139,i32,28124568,0.000005,0.001128923007450892,0.000e+00,0,
nccl_sync_g2_i32,2,0.021740,0.020278,0.024424,0.001584,i32,28124568,0.018308,0.8421343146274148,0.000e+00,0,
nccl_async_g1_i32,1,0.004545,0.004454,0.004866,0.000190,i32,28124568,,,0.000e+00,0,
nccl_async_g2_i32,2,0.021453,0.020649,0.022701,0.000754,i32,28124568,,,0.000e+00,0,
nccl_sync_g1_packed,1,0.004389,0.004322,0.004617,0.000121,packed,18749712,0.000004,0.0009113693324219641,0.000e+00,0,
nccl_sync_g2_packed,2,0.017948,0.017186,0.020909,0.001560,packed,18749712,0.014404,0.8025406730554937,0.000e+00,0,
nccl_async_g1_packed,1,0.004513,0.004412,0.004547,0.000057,packed,18749712,,,0.000e+00,0,
nccl_async_g2_packed,2,0.015921,0.015626,0.018143,0.001025,packed,18749712,,,0.000e+00,0,
