config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.258289,1.245476,1.269748,0.006185,0.008481,1.252235,1.260716,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.392173,1.379631,1.420873,0.010475,0.014391,1.384847,1.399238,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.393023,1.374718,1.405877,0.008449,0.011671,1.383608,1.395279,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.702680,0.695090,0.712127,0.004171,0.006156,0.699613,0.705768,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.699962,0.693451,0.709393,0.004112,0.006657,0.695863,0.702520,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.358959,0.354209,0.367243,0.002959,0.003778,0.356368,0.360146,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.353799,0.349736,0.357049,0.002232,0.003966,0.351836,0.355801,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.185916,0.183618,0.192247,0.002096,0.001588,0.185162,0.186750,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.180540,0.179020,0.183214,0.001049,0.001606,0.180000,0.181606,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.099480,0.095708,0.101794,0.001532,0.002310,0.098009,0.100319,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094970,0.093459,0.096106,0.000651,0.001111,0.094519,0.095630,,,,,0.000e+00,0,
mpi_r1,1,30,1.359923,1.297469,1.372553,0.018542,0.014173,1.351915,1.366088,,56249136,0.000007,0.0,0.000e+00,0,
mpi_r2,2,30,0.777130,0.761321,0.825120,0.013272,0.012546,0.774176,0.786722,,56249136,0.028250,0.0364,0.000e+00,0,
mpi_r4,4,30,0.491463,0.478827,0.522936,0.008741,0.008822,0.487315,0.496137,,56249136,0.047323,0.0952,0.000e+00,0,
mpi_r8,8,30,0.345821,0.335446,0.375005,0.007464,0.006354,0.343144,0.349498,,56249136,0.054930,0.15825,0.000e+00,0,
mpi_r16,16,30,0.270043,0.260836,0.307038,0.008952,0.005957,0.267014,0.272971,,56249136,0.062689,0.23304999999999998,0.000e+00,0,
mpi_r24,24,30,0.288736,0.276945,0.327128,0.010536,0.006055,0.286173,0.292229,,56249136,0.112104,0.386,0.000e+00,0,
mpi_r32,32,30,0.287925,0.272586,0.341188,0.016772,0.017523,0.280521,0.298044,,56249136,0.101829,0.35614999999999997,0.000e+00,0,
mpi_r48,48,30,0.578547,0.525571,0.643399,0.029220,0.045186,0.549493,0.594679,,56249136,0.296044,0.5123,0.000e+00,0,
