config,threads_or_ranks,n_trials,median_s,min_s,max_s,stdev_s,iqr_s,p25_s,p75_s,payload,allreduce_bytes,median_allreduce_s,comm_fraction,max_abs_diff,tol_failures,error
serial,1,30,1.250637,1.242904,1.260163,0.006253,0.012592,1.245322,1.257914,,,,,0.000e+00,0,
openmp_t1_static,1,30,1.383386,1.375249,1.396611,0.006399,0.011030,1.379825,1.390855,,,,,0.000e+00,0,
openmp_t1_dynamic,1,30,1.384812,1.375210,1.397089,0.006773,0.013425,1.379665,1.393090,,,,,0.000e+00,0,
openmp_t2_static,2,30,0.699191,0.695103,0.704828,0.002771,0.004226,0.697312,0.701538,,,,,0.000e+00,0,
openmp_t2_dynamic,2,30,0.700249,0.694592,0.702706,0.002506,0.004231,0.696886,0.701117,,,,,0.000e+00,0,
openmp_t4_static,4,30,0.357853,0.354554,0.361419,0.001782,0.001847,0.357011,0.358858,,,,,0.000e+00,0,
openmp_t4_dynamic,4,30,0.353646,0.350304,0.357227,0.001647,0.002417,0.351659,0.354076,,,,,0.000e+00,0,
openmp_t8_static,8,30,0.185007,0.183235,0.190004,0.001914,0.001802,0.184195,0.185997,,,,,0.000e+00,0,
openmp_t8_dynamic,8,30,0.180592,0.177968,0.182829,0.001303,0.002224,0.178942,0.181166,,,,,0.000e+00,0,
openmp_t16_static,16,30,0.098158,0.095782,0.101090,0.001835,0.003261,0.096417,0.099679,,,,,0.000e+00,0,
openmp_t16_dynamic,16,30,0.094393,0.092555,0.096149,0.001107,0.001901,0.092896,0.094797,,,,,0.000e+00,0,
mpi_r1,1,30,1.413827,1.393426,1.429602,0.008720,0.012463,1.409466,1.421929,,56249136,0.000007,0.0,0.000e+00,0,
mpi_r2,2,30,0.798902,0.786689,0.845985,0.014279,0.007690,0.793704,0.801394,,56249136,0.027498,0.03435,0.000e+00,0,
mpi_r4,4,30,0.507508,0.485491,0.514580,0.005896,0.006713,0.502907,0.509621,,56249136,0.047001,0.09315000000000001,0.000e+00,0,
mpi_r8,8,30,0.350673,0.345282,0.361353,0.004000,0.005024,0.348260,0.353283,,56249136,0.055643,0.1582,0.000e+00,0,
mpi_r16,16,30,0.277937,0.270712,0.285890,0.003390,0.004619,0.275703,0.280322,,56249136,0.067102,0.2429,0.000e+00,0,
mpi_r24,24,30,0.302266,0.294561,0.312429,0.004340,0.007249,0.299191,0.306440,,56249136,0.121615,0.40325,0.000e+00,0,
mpi_r32,32,30,0.318676,0.294413,0.356000,0.016226,0.020383,0.308634,0.329017,,56249136,0.122314,0.38705,0.000e+00,0,
cuda_1gpu,1,30,0.004173,0.004144,0.004398,0.000048,0.000050,0.004156,0.004206,,,,,0.000e+00,0,
nccl_sync_g1_f64,1,30,0.004622,0.004570,0.004815,0.000062,0.000082,0.004605,0.004687,f64,56249136,0.000003,0.0006489994591671173,0.000e+00,0,
nccl_sync_g2_f64,2,30,0.003439,0.003316,0.003499,0.000052,0.000093,0.003378,0.003471,f64,56249136,0.000464,0.13490332897223434,0.000e+00,0,
nccl_async_g1_f64,1,30,0.005325,0.005229,0.005445,0.000059,0.000086,0.005287,0.005372,f64,56249136,0.000020,,0.000e+00,0,
nccl_async_g1_f64_sep,1,30,0.005317,0.005204,0.011458,0.001121,0.000053,0.005296,0.005349,f64,56249136,0.000020,,0.000e+00,0,
nccl_async_g2_f64,2,30,0.003851,0.003659,0.004243,0.000211,0.000381,0.003776,0.004157,f64,56249136,0.001909,,0.000e+00,0,
nccl_async_g2_f64_sep,2,30,0.004166,0.003661,0.004359,0.000253,0.000498,0.003755,0.004253,f64,56249136,0.001953,,0.000e+00,0,
nccl_sync_g1_i32,1,30,0.004620,0.004543,0.004811,0.000068,0.000103,0.004585,0.004687,i32,28124568,0.000003,0.0006494209330014071,0.000e+00,0,
nccl_sync_g2_i32,2,30,0.003243,0.003144,0.003410,0.000067,0.000081,0.003200,0.003281,i32,28124568,0.000313,0.09651557200123342,0.000e+00,0,
nccl_async_g1_i32,1,30,0.005317,0.005241,0.005465,0.000050,0.000068,0.005284,0.005352,i32,28124568,0.000019,,0.000e+00,0,
nccl_async_g1_i32_sep,1,30,0.005298,0.005207,0.005465,0.000051,0.000068,0.005280,0.005348,i32,28124568,0.000020,,0.000e+00,0,
nccl_async_g2_i32,2,30,0.003766,0.003507,0.004256,0.000261,0.000483,0.003642,0.004125,i32,28124568,0.001784,,0.000e+00,0,
nccl_async_g2_i32_sep,2,30,0.003857,0.003505,0.004251,0.000231,0.000418,0.003683,0.004101,i32,28124568,0.001793,,0.000e+00,0,
nccl_sync_g1_packed,1,30,0.004618,0.004490,0.012969,0.001523,0.000090,0.004598,0.004687,packed,18749712,0.000003,0.0006495615459564795,0.000e+00,0,
nccl_sync_g2_packed,2,30,0.003202,0.003085,0.011716,0.001557,0.000076,0.003163,0.003239,packed,18749712,0.000249,0.07761986568795877,0.000e+00,0,
nccl_async_g1_packed,1,30,0.005307,0.005202,0.005432,0.000057,0.000081,0.005279,0.005360,packed,18749712,0.000020,,0.000e+00,0,
nccl_async_g1_packed_sep,1,30,0.005333,0.005227,0.013414,0.001477,0.000093,0.005281,0.005374,packed,18749712,0.000020,,0.000e+00,0,
nccl_async_g2_packed,2,30,0.003855,0.003486,0.004150,0.000219,0.000387,0.003640,0.004027,packed,18749712,0.001707,,0.000e+00,0,
nccl_async_g2_packed_sep,2,30,0.003700,0.003467,0.012112,0.001539,0.000362,0.003594,0.003956,packed,18749712,0.001718,,0.000e+00,0,
