config,threads_or_ranks,median_s,min_s,max_s,stdev_s,comm_fraction,max_abs_diff,tol_failures
serial,1,1.323116,1.320874,1.326303,0.002124,,0.000e+00,0
openmp_t1_static,1,1.256521,1.247137,1.288350,0.019433,,0.000e+00,0
openmp_t1_dynamic,1,1.249698,1.238325,1.256390,0.006531,,0.000e+00,0
openmp_t2_static,2,0.631210,0.629181,0.639073,0.003938,,0.000e+00,0
openmp_t2_dynamic,2,0.628413,0.622733,0.629154,0.003026,,0.000e+00,0
openmp_t4_static,4,0.322637,0.321966,0.326726,0.001901,,0.000e+00,0
openmp_t4_dynamic,4,0.318639,0.316918,0.320187,0.001266,,0.000e+00,0
openmp_t8_static,8,0.167012,0.166225,0.171873,0.002606,,0.000e+00,0
openmp_t8_dynamic,8,0.163318,0.162055,0.165250,0.001225,,0.000e+00,0
openmp_t16_static,16,0.090161,0.087826,0.092524,0.001767,,0.000e+00,0
openmp_t16_dynamic,16,0.086060,0.085498,0.086276,0.000312,,0.000e+00,0
cuda_1gpu,1,0.004660,0.004657,0.004661,0.000002,,0.000e+00,0
nccl_sync_g1,1,0.004677,0.004661,0.004687,0.000011,0.0006414368184733803,0.000e+00,0
nccl_sync_g2,2,0.004027,0.004019,0.004070,0.000023,0.11497392599950335,0.000e+00,0
nccl_async_g1,1,0.004761,0.004754,0.004786,0.000013,0.0,0.000e+00,0
nccl_async_g2,2,0.005031,0.004277,0.005255,0.000460,0.0,0.000e+00,0
